Id1,Id2,Nature,Polarité
P3,P7,Familiale,Positive
P4,P5,Familiale,Positive
P4,P6,Professionnelle;Familiale,NA
P4,P7,Familiale,Positive
P5,P6,Professionnelle;Familiale,NA
P5,P7,Familiale,NA
P5,P63,Amicale,Positive
P5,P63,Amicale,Positive
P6,P7,Professionnelle;Familiale,NA
P6,P25,NA,Négative
P8,P11,Professionnelle,Négative
P8,P16,Professionnelle,Négative
P8,P27,Professionnelle,Négative
P8,P53,Professionnelle,Négative
P10,P35,Amicale,Positive
P10,P50,Amicale,Positive
P11,P16,Amicale;Professionnelle,Positive
P11,P17,Amicale,Positive
P11,P19,Amicale;Professionnelle,Positive
P11,P27,Amicale;Professionnelle,Positive
P11,P53,Amicale;Professionnelle,Positive
P11,P64,Professionnelle,Négative
P12,P25,Amicale,Positive
P14,P22,Professionnelle,Positive
P16,P19,Amicale;Professionnelle,Positive
P16,P27,Amicale;Professionnelle,Positive
P16,P53,Amicale;Professionnelle,Positive
P17,P25,Amicale,Positive
P17,P43,Amicale,Positive
P17,P51,Amicale,Positive
P19,P22,Professionnelle,Positive
P19,P25,Amicale,Positive
P19,P27,Amicale;Professionnelle,Positive
P19,P40,Professionnelle,Négative
P20,P25,NA,Négative
P20,P25,NA,Négative
P22,P25,Amicale,Positive
P22,P33,Professionnelle,NA
P22,P56,Amicale,Positive
P23,P27,Amicale;Professionnelle,Positive
P24,P25,Amicale,Positive
P25,P31,Amicale,Positive
P25,P32,Amicale,Positive
P25,P36,Amicale,Positive
P25,P36,Amicale,Positive
P25,P38,Amicale,Positive
P25,P42,Amicale,Positive
P25,P42,Amicale,Positive
P25,P43,Amicale,Positive
P25,P43,Amicale,Positive
P25,P50,Amicale,Positive
P25,P51,Amicale,Positive
P25,P61,Amicale,Positive
P25,P63,Amicale,Positive
P25,P63,Amicale,Positive
P25,P66,Amicale,Positive
P26,P66,Professionnelle,Négative
P27,P53,Amicale;Professionnelle,Positive
P28,P53,Professionnelle,NA
P42,P48,Professionnelle,Positive
P42,P63,Familiale,Positive
