Type,Sequence
Senateur1,smil1;spol1;spol2;spol3;spol4;smil2;spol5;spol6;smil3;spol7
Senateur2,smil1;spol1;spol2;spol3;spol4;smil2;spol5;spol6;smil4;spol7
Chevalier1,cmil1;cmil2;cmil3;cmil4;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier2,cmil1;cmil2;cmil3;cmil7;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier3,cmil1;cmil2;cmil6;cmil4;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier4,cmil1;cmil2;cmil6;cmil7;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier5,cmil1;cmil5;cmil3;cmil4;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier6,cmil1;cmil5;cmil3;cmil7;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier7,cmil1;cmil5;cmil6;cmil4;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
Chevalier8,cmil1;cmil5;cmil6;cmil7;cpol1;cpol2;cpol3;cpol4;cpol5;cpol6
