Id1,Id2,Nature,Polarite
P17,P0,NA,NA
P17,P25,Amicale,Positive
P18,P0,Amicale;Professionnelle,Positive
P18,P2,Amicale;Professionnelle,Positive
P19,P0,Amicale;Professionnelle,Positive
P19,P25,Amicale,Positive
P19,P2,Famille;Amicale;Professionnelle,Positive
P19,P22,Professionnelle,Positive
P19,P40,Professionnelle,Négative
P20,P0,Amicale;Professionnelle,Positive
P20,P25,NA,Négative
P21,P0,Amicale;Professionnelle,Positive
P21,P2,Professionnelle,Négative
P22,P0,Amicale;Professionnelle,Positive
P22,P25,Amicale,Positive
P22,P2,Amicale;Professionnelle,Positive
P23,P0,Amicale;Professionnelle,Positive
P23,P2,Professionnelle,Négative
P23,P1,NA,Négative
P24,P0,Amicale;Professionnelle,Positive
P24,P25,Amicale,Positive
P25,P0,Amicale;Professionnelle,Positive
P25,P42,Amicale,Positive
P25,P43,Amicale,Positive
P25,P36,Amicale,Positive
P25,P63,Amicale,Positive
P25,P31,Amicale,Positive
P25,P32,Amicale,Positive
P25,P20,NA,Négative
P26,P0,Amicale;Professionnelle,Positive
P26,P66,Professionnelle,Négative
P27,P0,Amicale;Professionnelle,Positive
P27,P2,Professionnelle,Négative
P27,P19,Amicale;Professionnelle,Positive
P27,P23,Amicale;Professionnelle,Positive
P27,P53,Amicale;Professionnelle,Positive
P28,P0,Amicale;Professionnelle,Positive
P28,P53,Professionnelle,NA
P28,P2,Professionnelle,NA
P29,P0,Amicale;Professionnelle,Positive
P30,P0,Amicale;Professionnelle,Positive
P31,P0,Amicale;Professionnelle,Positive
P31,P2,Professionnelle,Positive
P32,P0,Amicale;Professionnelle,Positive
P33,P0,Amicale;Professionnelle,Positive
P33,P22,Professionnelle,NA
P34,P0,Amicale;Professionnelle,Positive
P34,P2,Professionnelle,Négative
P35,P0,Professionnelle,NA
P35,P10,Amicale,Positive
P36,P0,Professionnelle,Positive
P36,P25,Amicale,Positive
P36,P2,Professionnelle,Positive
P37,P0,Professionnelle,NA
P38,P0,Professionnelle,Positive
P38,P25,Amicale,Positive
P39,P0,Professionnelle,Positive
P39,P2,Professionnelle,NA
P40,P0,Professionnelle,Positive
P40,P2,Professionnelle,Positive
P41,P0,Professionnelle,Positive
P42,P0,Professionnelle,Positive
P42,P25,Amicale,Positive
P42,P2,Professionnelle,NA
P43,P0,Professionnelle,Positive
P43,P25,Amicale,Positive
P43,P17,Amicale,Positive
P44,P0,Professionnelle,Positive
P45,P0,NA,Négative
P45,P2,NA,Négative
P46,P0,NA,NA
P46,P2,Professionnelle,Positive
P47,P0,Professionnelle,Positive
P48,P0,Professionnelle,Positive
P48,P42,Professionnelle,Positive
P49,P0,NA,NA
P49,P2,Amicale;Professionnelle,Positive
P50,P0,Professionnelle,NA
P50,P25,Amicale,Positive
P50,P10,Amicale,Positive
P51,P0,Amicale;Professionnelle,Positive
P51,P25,Amicale,Positive
P51,P17,Amicale,Positive
P52,P0,Professionnelle,Posotive
P53,P0,Professionnelle,Positive
P53,P2,Professionnelle,Négative
P54,P0,Professionnelle,Positive
P55,P0,Professionnelle,Positive
P55,P2,Professionnelle,Positive
P56,P0,Professionnelle,Positive
P56,P22,Amicale,Positive
P56,P2,Amicale;Professionnelle,Positive
P57,P0,Professionnelle,NA
P57,P2,Amicale;Professionnelle,Positive
P58,P0,Professionnelle,Positive
P59,P0,Professionnelle,Positive
P60,P0,Professionnelle,Positive
P60,P2,Professionnelle,Positive
P61,P0,Professionnelle,Positive
P61,P1,Amicale,Positive
P61,P25,Amicale,Positive
P62,P0,Professionnelle,Positive
P63,P0,Professionnelle,Positive
P63,P25,Amicale,Positive
P63,P2,Amicale;Professionnelle,Positive
P63,P5,Amicale,Positive
P63,P42,Famille,Positive
P64,P0,Amicale;Professionnelle,Positive
P64,P2,Professionnelle,Positive
P64,P11,Professionnelle,Négative
P65,P0,Professionnelle,Positive
P66,P0,Professionnelle,Positive
P66,P25,Amicale,Postive
