Id1,Id2,Nature,Polarite
P0,P1,Famille,Positive
P1,P2,Famille;Professionnelle,Positive
P1,P3,Famille,NA
P1,P25,Amicale,Positive
P1,P4,Famille,Positive
P0,P2,Famille,Positive
P2,P5,Famille,Négative
P2,P3,Famille,Positive
P2,P4,Famille,Positive
P2,P11,Professionnelle,Négative
P2,P6,Professionnelle;Famille,NA
P3,P0,Famille,Positive
P3,P4,Famille,Positive
P3,P5,Famille,Positive
P3,P7,Famille,Positive
P3,P6,Professionnelle;Famille,NA
P4,P7,Famille,Positive
P4,P0,Famille,Positive
P4,P5,Famille,Positive
P5,P0,Famille,Positve
P5,P63,Amicale,Positive
P5,P6,Professionnelle;Famille,NA
P1,P6,Professionnelle;Famille,NA
P3,P6,Professionnelle;Famille,NA
P4,P6,Professionnelle;Famille,NA
P6,P25,NA,Négative
P7,P0,Famille,NA
P7,P1,Famille,NA
P7,P5,Famille,NA
P7,P6,Professionnelle;Famille,NA
P8,P0,Amicale;Professionnelle,Positive
P8,P1,Amicale,Positive
P8,P2,Amicale;Professionnelle,Positive
P8,P11,Professionnelle,Négative
P8,P16,Professionnelle,Négative
P8,P27,Professionnelle,Négative
P8,P53,Professionnelle,Négative
P9,P0,Amicale;Professionnelle,Positive
P10,P0,Amicale;Professionnelle,Positive
P11,P0,Amicale;Professionnelle,Positive
P11,P16,Amicale;Professionnelle,Positive
P11,P27,Amicale;Professionnelle,Positive
P11,P53,Amicale;Professionnelle,Positive
P11,P19,Amicale;Professionnelle,Positive
P11,P17,Amicale ,Positive
P12,P0,Amicale;Professionnelle,Positive
P12,P25,Amicale,Positive
P12,P2,Famille;Professionnelle,Positive
P13,P0,Amicale;Professionnelle,Positive
P14,P0,Amicale;Professionnelle,Positive
P14,P22,Professionnelle,Positive
P14,P2,Amicale;Professionnelle,Positive
P15,P0,Amicale;Professionnelle,Positive
P16,P0,Amicale;Professionnelle,Positive
P16,P53,Amicale;Professionnelle,Positive
P16,P27,Amicale;Professionnelle,Positive
P16,P19,Amicale;Professionnelle,Positive
P16,P0,Amicale;Professionnelle,Positive
P16,P2,Professionnelle,Négative
